name,reading,biography,period
孔子,こうし,紀元前551年~479年。中国春秋時代の思想家、政治家、教育者。儒教の開祖として知られ、『論語』にその教えが記録されている。政治的理想と人間関係の調和を重視し、「仁」「礼」「義」を核とした統治論を展開。魯国で政治に関わり、その思想は後の中国政治思想の基盤となった。戦略的思考においては、武力よりも徳による統治を説き、人心掌握と組織運営の原理を示した。弟子三千人、賢人七十二人を育て、教育者としても卓越した指導力を発揮。その思想は東アジア全域に影響を与え、現代でもリーダーシップ論や組織論の古典として参照される。,春秋時代
孫子,そんし,紀元前535年頃~496年頃。中国春秋時代の軍事思想家。本名は孫武。『孫子の兵法』の著者として世界的に知られる。呉国の将軍として活躍し、楚国との戦いで連戦連勝を収めた。「兵は国の大事なり」「彼を知り己を知れば百戦殆うからず」「戦わずして人の兵を屈するは善の善なる者なり」など、現代でも通用する戦略原則を確立。情報収集、心理戦、地の利の活用、兵站の重要性を説き、武力行使は最後の手段とする思想を展開。その兵法は軍事戦略にとどまらず、ビジネス戦略、競争戦略の古典として世界中で研究され続けている。,春秋時代
老子,ろうし,古代中国の思想家。道教の始祖とされる。「道徳経」の著者として知られ、「道」を万物の根源とする思想を説いた。「無為自然」の教えで、人為的な努力を避け、自然の流れに従うことを説いた。「上善は水の如し」として、水のように柔軟で謙虚な生き方を理想とした。「大器晩成」「柔よく剛を制す」などの言葉でも知られる。政治においても「無為の治」を説き、最小限の統治が最良であると主張した。その思想は後の中国思想に大きな影響を与え、現在でも多くの人々に愛され続けている。東洋哲学の源流の一つとして世界的に研究されている。,古代
荘子,そうじ,戦国時代の中国の思想家。老子の思想を発展させ、道家思想を深化させた。「荘子」という書物で知られ、寓話を用いて深い哲学を説いた。「胡蝶の夢」の話で現実と夢の境界を問い、万物の相対性を説いた。「無用の用」の思想で、一見無駄に見えるものの価値を示した。「至人無己、神人無功、聖人無名」として理想的な人間像を描いた。自由で自然な生き方を説き、社会の束縛から解放された境地を理想とした。その思想は文学性に富み、中国文化に大きな影響を与えた。現在でも多くの人々に愛読されている。,戦国時代
孟子,もうし,戦国時代の中国の思想家。孔子の思想を発展させ、儒教の理論的基盤を築いた。「性善説」を説き、人間の本性は善であると主張した。「仁政」の重要性を説き、王道政治を理想とした。「民を貴しとなし、社稷これに次ぎ、君を軽しとなす」として民本思想を示した。「浩然の気」の概念で、正義に基づく精神力の重要性を説いた。教育の必要性を強調し、「教えざるは父の過なり」として家庭教育の重要性を説いた。その思想は後の中国政治思想に大きな影響を与え、現在でも東アジアの政治哲学の基盤となっている。,戦国時代
諸葛亮,しょかつりょう,181年~234年。中国三国時代の蜀漢の政治家、軍師。字は孔明。劉備に三顧の礼で迎えられ、蜀漢建国の立役者となった。「天下三分の計」を立案し、弱小勢力だった劉備を皇帝にまで押し上げた戦略家。八卦陣、木牛流馬などの軍事技術開発にも長け、「空城の計」をはじめとする心理戦の名手として知られる。劉備の死後は幼い劉禅を支え、蜀漢の宰相として内政に手腕を発揮。北伐を繰り返し魏に対抗したが、五丈原で病没。「鞠躬尽瘁、死而後已」(身を粉にして働き、死ぬまで止めない)の言葉通り、忠義と知謀を兼ね備えた理想的軍師として後世に語り継がれる。,三国時代
曹操,そうそう,155年~220年。中国後漢末期から三国時代の政治家、軍事家、文学者。字は孟徳。黄巾の乱の鎮圧で頭角を現し、董卓討伐戦に参加。官渡の戦いで袁紹を破り、中国北部を統一した。「治世の能臣、乱世の奸雄」と評されるように、混乱の時代に卓越した統率力を発揮。「唯才是挙」(才能のみを重視する人材登用)を実践し、多くの優秀な人材を集めた。軍事面では機動力を重視し、補給戦略に長けていた。文学者としても優れ、建安文学の担い手として多くの詩を残す。息子の曹丕が後漢を滅ぼし魏を建国する基盤を築いた、中国史上屈指の英傑。,後漢
韓信,かんしん,紀元前231年頃~196年。中国秦末~前漢初期の軍事家。劉邦(後の漢の高祖)に仕えて項羽との楚漢戦争で活躍し、漢王朝建国の立役者となった。「国士無双」「背水の陣」「四面楚歌」など、現代でも使われる故事成語の主人公。若い頃は貧しく「股くぐり」の屈辱を受けたが、蕭何の推薦で劉邦に重用される。井?の戦い、イク下の戦いなど数々の戦いで奇策を用いて勝利を収め、「兵仙」「戦神」と称された。用兵の天才として「韓信の用兵、多多益弁」(韓信が兵を用いれば、多ければ多いほど良い)と評価される。しかし、その能力を劉邦と呂后に警戒され、最後は謀反の疑いをかけられて処刑された悲劇の名将。,秦末
岳飛,がくひ,1103年~1142年。中国南宋の軍事家。金軍の侵攻から南宋を守った忠臣として知られる。農民出身から身を起こし、岳家軍を率いて金軍と戦い、連戦連勝を重ねた。「精忠報国」(精いっぱい忠義を尽くして国に報いる)を背中に刺青したとされ、母親の教えを生涯守り抜いた。?城の戦いでは金の精鋭部隊「鉄浮図」「拐子馬」を破り、金軍を震撼させた。しかし、宰相秦檜の和平政策と対立し、十二道金牌(十二回の緊急召還令)によって前線から呼び戻された。「莫須有」(あるかもしれない)という曖昧な謀反の罪で処刑されたが、後に名誉が回復され、忠義の象徴として崇敬される。岳廟が各地に建立され、現代中国でも愛国的軍人の模範として尊敬されている。武芸にも優れ、岳家拳の開祖ともされる。,宋
アレクサンドロス大王,あれくさんどろすだいおう,紀元前356年~323年。古代マケドニア王国の王。アリストテレスに師事し、20歳で王位を継承。13年間の東征でペルシア帝国を滅ぼし、インドまで達する大帝国を築いた。ガウガメラの戦い、イッソスの戦いなど数々の戦いで勝利を収め、敗北を知らない軍事的天才として知られる。常に軍の先頭に立って戦い、兵士たちから絶大な信頼を得た。ヘレニズム文化の創始者として、ギリシア文化とオリエント文化の融合を図った。「新しい世界の征服に向かいたいが、もう征服すべき世界が残っていない」と嘆いたとされる。32歳の若さでバビロンで没したが、短い生涯で古代世界最大の帝国を築き上げた史上最も偉大な征服者の一人。「山がマホメットのもとに来ないなら、マホメットが山のもとに行く」「不可能はない、あるのは意志の強さだけだ」などの名言で知られる。,古代マケドニア
