word,reading,meaning,example,type,category_id
朝雨に傘いらず,あさあめにかさいらず,朝の雨はすぐに上がるものだという天候の経験則。,天気図を見たら朝雨に傘いらずだと思って、そのまま出勤した。,ことわざ,6
朝焼けは雨、夕焼けは日和,あさやけはあめ、ゆうやけはひより,朝焼けのときは雨になり、夕焼けのときは晴天になることが多いという経験則。,空が赤く染まっているから、朝焼けは雨、夕焼けは日和だね。,ことわざ,6
朝虹はその日の洪水,あさにじはそのひのこうずい,朝に虹が出ると、その日は荒天になりやすいという戒め。,山の向こうに虹が出たから、朝虹はその日の洪水と聞いて用心して出かけた。,ことわざ,6
入日よければ明日は天気,いりひよければあすはてんき,夕日の沈み方が良ければ翌日は晴れるという経験則。,水平線にきれいな夕日が沈んだし、入日よければ明日は天気だろう。,ことわざ,6
狐の嫁入り,きつねのよめいり,日が照っているのに雨が降る現象。,突然ぱらついた通り雨は、まさに狐の嫁入りだった。,ことわざ,6
草腐しの雨は七日,くさぐさしのあめはなのか,物の成長を損なうような冷たい長雨は七日ほど続きやすいという言い伝え。,気温の低い雨が続き、草腐しの雨は七日とはよく言ったものだ。,ことわざ,6
風十里雨二十里,かぜじゅうりあめにじゅうり,風の前兆は十里、雨の前兆は二十里先から現れるという自然観察。転じて、兆しは早くから表れるという意味。,市場の変化も風十里雨二十里、早めに兆しを捉えたい。,ことわざ,6
蚊がうすづけば雨が降る,かがうすづけばあめがふる,蚊の動きが鈍くなると雨が近いという経験則。,夕方になって蚊の動きが弱い。蚊がうすづけば雨が降るかもしれない。,ことわざ,6
朝曇が晴れ、夕曇は雨,あさぐもりがはれ、ゆうぐもりはあめ,朝の曇りは回復しやすく、夕方の曇りは雨になりやすいという経験則。,朝はどんよりしていたが、朝曇が晴れ、夕曇は雨の通りに昼から青空になった。,ことわざ,6
十時上がりに傘離すな,じゅうじあがりにかさらすな,朝十時ごろに雨が上がっても、また降り出すことがあるから傘を手放すなという戒め。,会議に行くとき、十時上がりに傘離すなを思い出して折り畳みを持っていった。,ことわざ,6
蛇に噛まれて朽ち縄に怖じる,へびにかまれてくちなおにおじる,一度の恐ろしい経験から、取るに足らないものにまで恐怖を感じるたとえ。,前回の不具合以来、彼は蛇に噛まれて朽ち縄に怖じるで簡単な更新にも慎重だ。,ことわざ,10
