author_name,quote_text,quote_furigana,category_name
フョードル・ドストエフスキー,人間にとって何が一番耐え難いかといえば、それは苦悩ではなく、全く意味のない苦悩である。,にんげんにとってなにがいちばんたえがたいかといえば、それはくのうではなく、まったくいみのないくのうである。,哲学
フョードル・ドストエフスキー,愛とは、すべてを許すことではない。愛とは、すべてを見ることである。,あいとは、すべてをゆるすことではない。あいとは、すべてをみることである。,愛
フョードル・ドストエフスキー,美は世界を救うであろう。,びはせかいをすくうであろう。,哲学
レフ・トルストイ,人生の意味は、人に奉仕し、慈悲を示し、人々を助けたいという意志を持つことにある。,じんせいのいみは、ひとにほうしし、じひをしめし、ひとびとをたすけたいといういしをもつことにある。,哲学
レフ・トルストイ,愛は人生の意味であり目的である。,あいはじんせいのいみでありもくてきである。,愛
レフ・トルストイ,他人の不幸の上に自分の幸福を築いてはならない。,たにんのふこうのうえにじぶんのこうふくをきずいてはならない。,幸福
ヘミングウェイ,勇気とは、プレッシャーの下でも品位を保つことだ。,ゆうきとは、ぷれっしゃーのしたでもひんいをたもつことだ。,挑戦
ヘミングウェイ,人は、打ち負かされるためではなく、破滅するために生まれてきた。,ひとは、うちまかされるためではなく、はめつするためにうまれてきた。,哲学
ヘミングウェイ,今は何もかもがダメだが、毎日が新しい日なのだ。,いまはなにもかもがだめだが、まいにちがあたらしいひなのだ。,希望
マルセル・プルースト,真の発見の旅とは、新しい風景を探すことではなく、新しい目で見ることである。,しんのはっけんのたびとは、あたらしいふうけいをさがすことではなく、あたらしいめでみることである。,学び
マルセル・プルースト,我々は皆、過去の囚人である。,われわれはみな、かこのしゅうじんである。,哲学
マルセル・プルースト,本当の愛は、常に遅れてやってくる。,ほんとうのあいは、つねにおくれてやってくる。,愛
ジェイムズ・ジョイス,間違いは人生への扉である。,まちがいはじんせいへのとびらである。,学び
ジェイムズ・ジョイス,歴史は、私たちが目覚めようとしている悪夢である。,れきしは、わたしたちがめざめようとしているあくむである。,哲学
ジェイムズ・ジョイス,人は、自分自身を理解するまでは、他の誰も理解することはできない。,ひとは、じぶんじしんをりかいするまでは、ほかのだれもりかいすることはできない。,哲学
ガブリエル・ガルシア・マルケス,人生は何が起こるかではなく、何を記憶しているかによって決まる。,じんせいはなにがおこるかではなく、なにをきおくしているかによってきまる。,哲学
ガブリエル・ガルシア・マルケス,愛こそが、唯一賢明で満足のいく人間存在の答えである。,あいこそが、ゆいいつけんめいでまんぞくのいくにんげんそんざいのこたえである。,愛
ガブリエル・ガルシア・マルケス,老いることは禁じられていることができるようになることだ。,おいることはきんじられていることができるようになることだ。,哲学
ウラジーミル・ナボコフ,芸術的な喜びとは、頭の中で手を叩くことである。,げいじゅつてきなよろこびとは、あたまのなかでてをたたくことである。,表現
ウラジーミル・ナボコフ,文学の目的は、人生が与えてくれる喜びを与えることではなく、人生が与えることのできない喜びを与えることである。,ぶんがくのもくてきは、じんせいがあたえてくれるよろこびをあたえることではなく、じんせいがあたえることのできないよろこびをあたえることである。,文学
ウラジーミル・ナボコフ,好奇心は無知よりも純粋である。,こうきしんはむちよりもじゅんすいである。,知識
ボルヘス,楽園とは図書館のようなものでなければならない。,らくえんとはとしょかんのようなものでなければならない。,知識
ボルヘス,詩は言葉を超越したところにある。詩は一つの近づき方である。,しはことばをちょうえつしたところにある。しはひとつのちかづきかたである。,文学
ボルヘス,疑いは信仰の名前の一つである。,うたがいはしんこうのなまえのひとつである。,信仰
イタロ・カルヴィーノ,人はみな、まだ始まっていない本を読んでいる。,ひとはみな、まだはじまっていないほんをよんでいる。,文学
イタロ・カルヴィーノ,軽やかさを失わずに真剣であること。,かるやかさをうしなわずにしんけんであること。,哲学
イタロ・カルヴィーノ,語ることができないものについては、想像しなければならない。,かたることができないものについては、そうぞうしなければならない。,想像力
フョードル・ドストエフスキー,良心とは神の声である。,りょうしんとはかみのこえである。,信仰
フョードル・ドストエフスキー,人間の魂ほど複雑で、説明の困難なものはない。,にんげんのたましいほどふくざつで、せつめいのこんなんなものはない。,魂
フョードル・ドストエフスキー,苦痛と苦悩は偉大な意識と深い心の持ち主にとって、常に避けられないものである。,くつうとくのうはいだいないしきとふかいこころのもちぬしにとって、つねにさけられないものである。,逆境
レフ・トルストイ,賢い人間は、経験から学ぶよりも、他人から学ぶものである。,かしこいにんげんは、けいけんからまなぶよりも、たにんからまなぶものである。,学び
レフ・トルストイ,自分を変えよ、そうすれば世界も変わるだろう。,じぶんをかえよ、そうすればせかいもかわるだろう。,挑戦
